Community,median_household,median_family,%earned,%self_empl,%investment,%soc_sec,%public_asst,%other,"percent_0-4,999","percent_5,000-9,999","percent_10,000-14,999","percent_15,000-19,999","percent_20,000-24,999","percent_25,000-34,999","percent_35,000-49,999","percent_50,000+",%fam_below_pov,%people_below_pov,%elderly_below_pov
Upper St. Clair,"39,986.00","41,573.00",94,16,77,15,1,18,2,2,4,6,8,17,29,32,1,1,2
Verona,"16,482.00","19,681.00",76,4,41,34,8,30,13,15,16,19,13,17,5,1,6,9,9
Versailles,"17,861.00","21,081.00",73,4,49,39,9,39,14,11,17,16,17,17,7,1,1,3,5
Wall,"15,878.00","18,854.00",76,3,42,34,14,31,12,22,13,19,18,10,6,0,7,9,9
West Deer,"20,838.00","22,183.00",82,8,48,26,6,32,7,11,13,15,18,22,9,4,4,6,10
West Elizabeth,"18,640.00","20,000.00",79,4,33,29,11,36,13,12,6,26,22,11,6,4,7,8,9
West End,"8,833.00","11,548.00",59,4,38,43,25,17,30,26,18,18,0,3,4,0,25,17,34
West Homestead,"19,397.00","22,317.00",70,3,48,36,13,29,16,16,10,9,16,15,14,5,10,12,11
West Mifflin,"20,145.00","22,508.00",78,5,52,30,7,33,10,12,13,14,15,21,11,3,5,7,7
West Oakland,"6,801.00","9,492.00",57,3,17,34,39,23,40,25,16,9,3,7,0,0,30,41,46
West View,"16,682.00","20,169.00",78,8,60,37,6,32,8,19,17,17,15,16,6,3,3,4,7
Westwood,"18,416.00","20,726.00",84,5,52,27,5,31,9,13,17,17,17,20,7,1,5,6,8
Whitaker,"16,293.00","19,118.00",69,4,50,41,8,40,11,16,17,16,15,16,5,3,4,5,4
Whitehall,"22,089.00","25,896.00",81,10,67,32,4,29,6,12,14,12,14,21,13,8,2,4,5
White Oak,"21,700.00","24,887.00",79,8,61,32,5,30,7,12,12,14,15,23,12,5,2,3,6
Wilkins,"21,094.00","23,931.00",85,9,64,26,4,23,5,9,13,19,16,23,11,5,2,4,5
Wilkinsburg,"13,485.00","17,306.00",74,6,43,32,11,26,16,20,19,14,11,13,5,2,11,14,11
Wilmerding,"12,025.00","16,623.00",63,4,45,46,11,35,21,22,16,14,11,11,5,0,8,12,14
Windgap,"20,577.00","22,803.00",82,9,67,40,11,39,5,14,14,15,16,17,13,5,1,4,10
